CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,ChatGPT_Response
CVE-2000-1029,CVE-2000-1029,Buffer overflow in host command allows a remote attacker to execute arbitrary commands via a long response to an AXFR query.,isc,bind,HIGH,NVD-CWE-Other,None,DNS
CVE-2002-0702,CVE-2002-0702,"Format string vulnerabilities in the logging routines for dynamic DNS code (print.c) of ISC DHCP daemon (DHCPD) 3 to 3.0.1rc8, with the NSUPDATE option enabled, allow remote malicious DNS servers to execute arbitrary code via format strings in a DNS server response.",isc,dhcpd,HIGH,NVD-CWE-Other,"DNS, DHCP","DNS, DHCP"
CVE-2005-0876,CVE-2005-0876,Off-by-one buffer overflow in Dnsmasq before 2.21 may allow attackers to execute arbitrary code via the DHCP lease file.,dnsmasq,dnsmasq,MEDIUM,NVD-CWE-Other,"DNS, DHCP","DNS, DHCP"
CVE-2006-4983,CVE-2006-4983,"Cisco NAC allows quarantined devices to communicate over the network with (1) DNS, (2) DHCP, and (3) EAPoUDP, which allows attackers to bypass control methods by tunneling network traffic through one of these protocols.",cisco,network_access_control,HIGH,NVD-CWE-Other,"DNS, DHCP","DNS, DHCP"
CVE-2007-1692,CVE-2007-1692,"The default configuration of Microsoft Windows uses the Web Proxy Autodiscovery Protocol (WPAD) without static WPAD entries, which might allow remote attackers to intercept web traffic by registering a proxy server using WINS or DNS, then responding to WPAD requests, as demonstrated using Internet Explorer.  NOTE: it could be argued that if an attacker already has control over WINS/DNS, then web traffic could already be intercepted by modifying WINS or DNS records, so this would not cross privilege boundaries and would not be a vulnerability.  It has also been reported that DHCP is an alternate attack vector.",microsoft,"windows_2000, windows_2003_server",HIGH,CWE-16,"DNS, DHCP","DNS, DHCP"
CVE-2007-4390,CVE-2007-4390,"The Command Line Interface (CLI), aka Adonis Administration Console, on the BlueCat Networks Adonis DNS/DHCP appliance 5.0.2.8 allows local admin users to gain root privileges on the underlying operating system via shell metacharacters in a command.",bluecat_networks,adonis,HIGH,CWE-264,"DNS, DHCP","DNS, DHCP"
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,SSL,SSL
CVE-2009-2957,CVE-2009-2957,"Heap-based buffer overflow in the tftp_request function in tftp.c in dnsmasq before 2.50, when --enable-tftp is used, might allow remote attackers to execute arbitrary code via a long filename in a TFTP packet, as demonstrated by a read (aka RRQ) request.",thekelleys,dnsmasq,MEDIUM,CWE-119,DNS,none
CVE-2012-3411,CVE-2012-3411,"Dnsmasq before 2.63test1, when used with certain libvirt configurations, replies to requests from prohibited interfaces, which allows remote attackers to cause a denial of service (traffic amplification) via a spoofed DNS query.","thekelleys, redhat","enterprise_linux_desktop, enterprise_linux_workstation, enterprise_linux_server, dnsmasq",MEDIUM,CWE-20,DNS,DNS
CVE-2012-4985,CVE-2012-4985,"The Forescout CounterACT NAC device 6.3.4.1 does not block ARP and ICMP traffic from unrecognized clients, which allows remote attackers to conduct ARP poisoning attacks via crafted packets.",forescout,counteract,MEDIUM,CWE-264,ARP,"ARP, ICMP"
CVE-2015-3626,CVE-2015-3626,Cross-site scripting (XSS) vulnerability in the DHCP Monitor page in the Web User Interface (WebUI) in Fortinet FortiOS before 5.2.4 on FortiGate devices allows remote attackers to inject arbitrary web script or HTML via a crafted hostname.,fortinet,fortios,MEDIUM,CWE-79,DHCP,DHCP
CVE-2015-8099,CVE-2015-8099,"F5 BIG-IP LTM, AFM, Analytics, APM, ASM, Link Controller, and PEM 11.3.x, 11.4.x before 11.4.1 HF10, 11.5.x before 11.5.4, 11.6.x before 11.6.1, and 12.x before 12.0.0 HF1; BIG-IP AAM 11.4.x before 11.4.1 HF10, 11.5.x before 11.5.4, 11.6.x before 11.6.1, and 12.x before 12.0.0 HF1; BIG-IP DNS 12.x before 12.0.0 HF1; BIG-IP Edge Gateway, WebAccelerator, and WOM 11.3.0; BIG-IP GTM 11.3.x, 11.4.x before 11.4.1 HF10, 11.5.x before 11.5.4, and 11.6.x before 11.6.1; BIG-IP PSM 11.3.x and 11.4.x before 11.4.1 HF10; Enterprise Manager 3.0.0 through 3.1.1; BIG-IQ Cloud and BIG-IQ Security 4.0.0 through 4.5.0; BIG-IQ Device 4.2.0 through 4.5.0; BIG-IQ ADC 4.5.0; BIG-IQ Centralized Management 4.6.0; and BIG-IQ Cloud and Orchestration 1.0.0 on the 3900, 6900, 8900, 8950, 11000, 11050, PB100 and PB200 platforms, when software SYN cookies are configured on virtual servers, allow remote attackers to cause a denial of service (High-Speed Bridge hang) via an invalid TCP segment.",f5,"big-iq_cloud, big-ip_domain_name_system, big-ip_analytics, big-ip_access_policy_manager, big-ip_protocol_security_module, big-iq_device, big-ip_link_controller, big-ip_wan_optimization_manager, big-ip_webaccelerator, big-ip_advanced_firewall_manager, big-iq_application_delivery_controller, big-iq_cloud_and_orchestration, big-iq_security, big-ip_policy_enforcement_manager, big-ip_local_traffic_manager, big-ip_application_acceleration_manager, big-ip_application_security_manager, big-iq_centralized_management, big-ip_global_traffic_manager, big-ip_edge_gateway, big-ip_enterprise_manager",MEDIUM,CWE-20,None,none
CVE-2017-14429,CVE-2017-14429,"The DHCP client on D-Link DIR-850L REV. A (with firmware through FW114WWb07_h2ab_beta1) and REV. B (with firmware through FW208WWb02) devices allows unauthenticated remote code execution as root because /etc/services/INET/inet_ipv4.php mishandles shell metacharacters, affecting generated files such as WAN-1-udhcpc.sh.","d-link, dlink","dir-850l, dir-850l_firmware",CRITICAL,CWE-78,DHCP,DHCP
CVE-2017-14492,CVE-2017-14492,Heap-based buffer overflow in dnsmasq before 2.78 allows remote attackers to cause a denial of service (crash) or execute arbitrary code via a crafted IPv6 router advertisement request.,"redhat, canonical, thekelleys, novell, debian","dnsmasq, enterprise_linux_desktop, leap, enterprise_linux_server, debian_linux, enterprise_linux_workstation, ubuntu_linux",CRITICAL,CWE-119,DNS,"DHCP, ICMP"
CVE-2017-14495,CVE-2017-14495,"Memory leak in dnsmasq before 2.78, when the --add-mac, --add-cpe-id or --add-subnet option is specified, allows remote attackers to cause a denial of service (memory consumption) via vectors involving DNS response creation.","redhat, canonical, thekelleys, novell, debian","dnsmasq, enterprise_linux_desktop, leap, enterprise_linux_server, debian_linux, enterprise_linux_workstation, ubuntu_linux",HIGH,CWE-772,DNS,DNS
