CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol 1,Protocol 2,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2002-0702,CVE-2002-0702,"Format string vulnerabilities in the logging routines for dynamic DNS code (print.c) of ISC DHCP daemon (DHCPD) 3 to 3.0.1rc8, with the NSUPDATE option enabled, allow remote malicious DNS servers to execute arbitrary code via format strings in a DNS server response.",isc,dhcpd,HIGH,NVD-CWE-Other,DHCP,DNS,Both,Related,Implementation,The vulnerability involves dynamic DNS code (which is DNS-related) and the ISC DHCP daemon (DHCPD). The issue is in the logging routines for ISC DHCP daemon,
CVE-2018-20872,CVE-2018-20872,"DrayTek routers before 2018-05-23 allow CSRF attacks to change DNS or DHCP settings, a related issue to CVE-2017-11649.",i-lan,draytekl_firmware,MEDIUM,CWE-352,DHCP,DNS,Both,Related,Implementation,"the vulnerability is due to a flaw of the DrayTek software\configuration, Morover its related cause its directly affect the operation of DNS\DHCP (changing settings)",
CVE-2019-14834,CVE-2019-14834,"A vulnerability was found in dnsmasq before version 2.81, where the memory leak allows remote attackers to cause a denial of service (memory consumption) via vectors involving DHCP response creation.","thekelleys, fedoraproject","fedora, dnsmasq",LOW,CWE-770,DHCP,DNS,Both,Related,Implementation,"The vulnerability is related to dns cause the attacker allocate memory using DHCP pakcets(dependent), memory leaking is an implemntation issue",
CVE-2008-6984,CVE-2008-6984,"Plesk 8.6.0, when short mail login names (SHORTNAMES) are enabled, allows remote attackers to bypass authentication and send spam e-mail via a message with (1) a base64-encoded username that begins with a valid shortname, or (2) a username that matches a valid password, as demonstrated using (a) SMTP and qmail, and (b) Courier IMAP and POP3.",parallels,plesk,MEDIUM,CWE-287,POP3,SMTP,Both,Related,Implementation,The vulnerability is related to the authentication mechanisms in both SMTP and POP3 protocols. The vulnerability stems from improper handeling of the authentication credentials -  hence its origin is implementation.,
CVE-2006-0447,CVE-2006-0447,"Multiple buffer overflows in E-Post Mail Server 4.10 and SPA-PRO Mail @Solomon 4.00 allow remote attackers to execute arbitrary code via a long username to the (1) AUTH PLAIN or (2) AUTH LOGIN SMTP commands, which is not properly handled by (a) EPSTRS.EXE or (b) SPA-RS.EXE; (3) a long username in the APOP POP3 command, which is not properly handled by (c) EPSTPOP4S.EXE or (d) SPA-POP3S.EXE; (4) a long IMAP DELETE command, which is not properly handled by (e) EPSTIMAP4S.EXE or (f) SPA-IMAP4S.EXE.",e-post_corporation,"smtp_server, mail_server, spa-pro_mail_atsolomon",HIGH,NVD-CWE-Other,POP3,SMTP,Both,Related,Implementation,The vulnerability directly relates to the SMTP and POP3 protocols as it exploits use some of its commands to create a memory leak. The vulnerability stems from improper  memory management while handeling the SMTP and POP3 commands  - hence its origin is implementation,
CVE-2019-19942,CVE-2019-19942,"Missing output sanitation in Swisscom Centro Grande Centro Grande before 6.16.12, Centro Business 1.0 (ADB) before 7.10.18, and Centro Business 2.0 before 8.02.04 allows a remote attacker to perform DNS spoofing against the web interface via crafted hostnames in DHCP requests.",swisscom,"centro_business, centro_grande, centro_grande_firmware",HIGH,CWE-20,DHCP,DNS,Both,Related,Implementation,a product specific vuln is an impl vuln,
CVE-2020-25686,CVE-2020-25686,"A flaw was found in dnsmasq before version 2.83. When receiving a query, dnsmasq does not check for an existing pending request for the same name and forwards a new request. By default, a maximum of 150 pending queries can be sent to upstream servers, so there can be at most 150 queries for the same name. This flaw allows an off-path attacker on the network to substantially reduce the number of attempts that it would have to perform to forge a reply and have it accepted by dnsmasq. This issue is mentioned in the ""Birthday Attacks"" section of RFC5452. If chained with CVE-2020-25684, the attack complexity of a successful attack is reduced. The highest threat from this vulnerability is to data integrity.","thekelleys, fedoraproject, arista, debian","eos, debian_linux, fedora, dnsmasq",LOW,CWE-358,DHCP,DNS,Both,Related,Logic,ýýýýýýýý ýýýýýýýýýýýý- ýýýýýýýýýýýýýý ýýýý ýýýýýýýý ýýýýýý ýýýýýý ýýýý ýýýýýýýýýý ýýýý ýýýý ýýýýýý. ýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýý ýýýýýýýýýýýýýýýýýý ýýýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýý ýý-dbsmasq ýýýýýýýý ýýýý ýý-DNS ýýýýýý ýý-DHCP,
CVE-2018-20872,CVE-2018-20872,"DrayTek routers before 2018-05-23 allow CSRF attacks to change DNS or DHCP settings, a related issue to CVE-2017-11649.",i-lan,draytekl_firmware,MEDIUM,CWE-352,DHCP,DNS,Both,Dependent,Logic,"ýýýý ýýýýýýýý ýýýý ýýýýýýýýýýýý CSRF ýýýýýýýýýý ýýýýýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýý ýýýýýýýýýýýýýý ýýýý ýý-DNS ýýýý ýý-DHCP ýýýý ýýýýýýýýýýýý. ýýýýýý ýýýý ýýýýýýýý ýýýýýýýýýýýý. ýýýý dependent ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýý ýýýýýýýýýý, ýýýýýý ýýýý ýýýý ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýý. ýýýýýý ýýýý, ýýýýýýýýýý CSRF ýýýý ýýýýýýýýýý ýýýýýýýýýý ýýýýýý ýýýýýýýý ýýýýýý ýýýýýýýý ýýýýýýýý ýýýý ýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýý ýýýýýý. ",
CVE-2017-14495,CVE-2017-14495,"Memory leak in dnsmasq before 2.78, when the --add-mac, --add-cpe-id or --add-subnet option is specified, allows remote attackers to cause a denial of service (memory consumption) via vectors involving DNS response creation.","redhat, canonical, thekelleys, novell, debian","dnsmasq, enterprise_linux_desktop, leap, enterprise_linux_server, debian_linux, enterprise_linux_workstation, ubuntu_linux",HIGH,CWE-772,DHCP,DNS,Both,Related,Implementation,"ýýýý ýýýýýýýýýý ýýýý ýýýýýýýýýý ýýýýýýýýýýýý ýý-dnsmasq ýýýýýýýý ýýýýýýýýýý ýýýý ýý-DNS ýýýýýý ýý-DHCP. ýýýýýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýý ýý-DNS ýýýýýý ýýýýýýýýýý both ýýýýýýýýýýýý ýýýýýý ýýýýýýýýýý ýýýýýýýýýý, ýýýýýýýýýý ýýýýýýýý ýýýý ýýDNS ýýýýýý ýýýýýýýýýý. ýýýý ýýýýýýýýýý related ýýýýýý ýýýý ýýýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýý ýýýýýýýýýýýýýýýýýý.",
CVE-2017-14492,CVE-2017-14492,Heap-based buffer overflow in dnsmasq before 2.78 allows remote attackers to cause a denial of service (crash) or execute arbitrary code via a crafted IPv6 router advertisement request.,"redhat, canonical, thekelleys, novell, debian","dnsmasq, enterprise_linux_desktop, leap, enterprise_linux_server, debian_linux, enterprise_linux_workstation, ubuntu_linux",CRITICAL,CWE-119,DHCP,DNS,Both,Related,Implementation,ýýýýýýýýýý ýýýýýýýýýý ýýýý heap buffer overflow ýýýýýýýýýýýýýýýýýý dnsmasq ýýýýýýýý ýýýýýýýý ýýýý ýý-DNS ýýýýýý ýý-DHCP,
CVE-2012-3411,CVE-2012-3411,"Dnsmasq before 2.63test1, when used with certain libvirt configurations, replies to requests from prohibited interfaces, which allows remote attackers to cause a denial of service (traffic amplification) via a spoofed DNS query.","thekelleys, redhat","enterprise_linux_desktop, enterprise_linux_workstation, enterprise_linux_server, dnsmasq",MEDIUM,CWE-20,DHCP,DNS,Both,Related,Logic,"ýýýýýýýý ýýýýýýýýýýýý- ýýýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýýýý ýýýýýýýýýý. ýýýý ýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýý DNS ýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýý ýýýý ýýýýýý ýýýýýýýýýýýýýýýýýýýýýý , ýýýýýý ýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýý ýý-dnsmasq ýýýýýý ýýýýýýýýýý ýýýý ýýýýýýýýýý.",
CVE-2007-1692,CVE-2007-1692,"The default configuration of Microsoft Windows uses the Web Proxy Autodiscovery Protocol (WPAD) without static WPAD entries, which might allow remote attackers to intercept web traffic by registering a proxy server using WINS or DNS, then responding to WPAD requests, as demonstrated using Internet Explorer.  NOTE: it could be argued that if an attacker already has control over WINS/DNS, then web traffic could already be intercepted by modifying WINS or DNS records, so this would not cross privilege boundaries and would not be a vulnerability.  It has also been reported that DHCP is an alternate attack vector.",microsoft,"windows_2000, windows_2003_server",HIGH,CWE-16,DHCP,DNS,Both,Related,,"ýýýýýýýý, WPAD ýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýý-proxy ýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýý. ýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýý ýýýýýý ýýýýýýýý, WPAD ýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý ýýýý ýýýýýý ýý-proxy ýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý DNS, DHCP ýýýý ýýýýýýýýýýýý ýýýýýýýýýý. ýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý ýýýý ýýýýýýýýýý ýý-WPAD. ýýýýýýýýýý ýýýýýýýýýýýý, ýýýýýýýýýý ýýýýýýýý ýýýýýýýýýý ýýýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýý ýýýýýýýýýýýýýýýý ýýýý Windows (WINS) ýýýý ýýýýýýýýýý ýýýýýýýý ýýýýýýýýýýýýýý (DNS). ýýýýýýýý ýýýýýýýýýýýý Windows ýýýýýýýýýý ýýýýýýýýýý ýýýý ýýýýýýýýýý ýý-proxy ýýýýýýýýýýýýýý WPAD, ýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýý ýý-proxy ýýýýýýýýýýýý ýýýýýýýýýý ýýýý ýýýýýý ýýýýýýýýýý. ýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýý ýýýýýý ýýýýýýýý ýýýýýýýý ýýýýýý ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý WINS ýýýý DNS, ýýýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýýýýýýýý ýýýý ýýýýýýýýýýýýýýýý WPAD ýýýýýýýý, ýýýý ýýýýýýýýýý ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýý. ýýýý ýýýýýý ýýýý ýýýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý ýýýý ýýýýýýýýýýýý ýýýý ýýýý DHCP ýýýýýýýý ýýýýýýýýýý both.  ",
CVE-2006-4983,CVE-2006-4983,"Cisco NAC allows quarantined devices to communicate over the network with (1) DNS, (2) DHCP, and (3) EAPoUDP, which allows attackers to bypass control methods by tunneling network traffic through one of these protocols.",cisco,network_access_control,HIGH,NVD-CWE-Other,DHCP,DNS,Both,Related,Logic,ýýýý ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýý-CVE ýýýý ýýýýýýýýýý ýýýýýýýýýýýýýý ýýýýýýýý tunneling ýýýýýý ýýýýýýýý ýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýý.,
