CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2015-0633,CVE-2015-0633,"The Integrated Management Controller (IMC) in Cisco Unified Computing System (UCS) 1.4(7h) and earlier on C-Series servers allows remote attackers to bypass intended access restrictions by sending crafted DHCP response packets on the local network, aka Bug ID CSCuf52876.",cisco,"c220_m4, c250_m2, c250_m1, c200_m1, c460_m2, c460_m1, c240_m4, c24_m3, c200_m2, c3160, unified_computing_system, c240_m3, c22_m3, c420_m2, c260_m2, c220_m3, c460_m4, c420_m3, c210_m2",MEDIUM,CWE-20,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2017-14429,CVE-2017-14429,"The DHCP client on D-Link DIR-850L REV. A (with firmware through FW114WWb07_h2ab_beta1) and REV. B (with firmware through FW208WWb02) devices allows unauthenticated remote code execution as root because /etc/services/INET/inet_ipv4.php mishandles shell metacharacters, affecting generated files such as WAN-1-udhcpc.sh.","d-link, dlink","dir-850l, dir-850l_firmware",CRITICAL,CWE-78,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2021-34737,CVE-2021-34737,"A vulnerability in the DHCP version 4 (DHCPv4) server feature of Cisco IOS XR Software could allow an unauthenticated, remote attacker to trigger a crash of the dhcpd process, resulting in a denial of service (DoS) condition. This vulnerability exists because certain DHCPv4 messages are improperly validated when they are processed by an affected device. An attacker could exploit this vulnerability by sending a malformed DHCPv4 message to an affected device. A successful exploit could allow the attacker to cause a NULL pointer dereference, resulting in a crash of the dhcpd process. While the dhcpd process is restarting, which may take up to approximately two minutes, DHCPv4 server services are unavailable on the affected device. This could temporarily prevent network access to clients that join the network during that time period. Note: Only the dhcpd process crashes and eventually restarts automatically. The router does not reload.",cisco,"asr_9001, asr_9906, ncs_5516, ncs_560-4, ncs540x-16z4g8q2c-d, ncs540-12z20g-sys-d, ncs_5508, ios_xrv_9000, ncs540-24z8q2c-sys, ncs_5501, ncs_5001, ncs_560-7, asr_9910, ncs540x-acc-sys, asr_9902, ncs540-28z4c-sys-d, ios_xr, ncs540-24z8q2c-m, asr_9901, ncs540-acc-sys, ncs_5502-se, ncs_5501-se, asr_9904, ncs_5502, asr_9006, ncs_5011, asr_9912, asr_9922, ncs540-28z4c-sys-a, ncs540x-12z16g-sys-a, asr_9010, ncs540-12z20g-sys-a, asr_9903, ncs540x-16z4g8q2c-a, ncs_5002, asr_9000v-v2, ncs540x-12z16g-sys-d",HIGH,CWE-476,DHCP,Related,Implementation,"The vulnerability directly affects DHCP operation due to improper handling of DHCP requests by the server, indicating an implementation flaw.",
CVE-2020-27861,CVE-2020-27861,This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of NETGEAR Orbi 2.5.1.16 routers. Authentication is not required to exploit this vulnerability. The specific flaw exists within the UA_Parser utility. A crafted Host Name option in a DHCP request can trigger execution of a system call composed from a user-supplied string. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-11076.,netgear,"rbk20, rbk20w_firmware, rbk15_firmware, ex6200_firmware, rbk33, rbk13_firmware, cbr40_firmware, rbr20, rbk43_router_firmware, rbs50_firmware, ex8000, rbk22_satellite_firmware, rbk52w_firmware, rbk43_satellite_firmware, rbr40, rbk23w, rbs10, rbr40_firmware, rbk30, rbk12_firmware, cbr40, rbs20_firmware, rbk43s_satellite_firmware, cbk40_firmware, rbr20_firmware, rbk40_router_firmware, rbk43s_router_firmware, rbk44_router_firmware, rbk14, rbk30_firmware, cbk40, rbk44, rbk43, rbr10_firmware, rbk13, rbk44_satellite_firmware, ex6200, rbk52w, rbs40_firmware, rbk50_firmware, rbk14_firmware, rbk50, rbk22_router_firmware, rbk23_router_firmware, rbr50, rbk23_satellite_firmware, rbk33_firmware, rbs50, ex7700_firmware, rbk40_satellite_firmware, rbk40, rbk20w, rbk20_satellite_firmware, rbk22, rbk23, ex7700, rbr50_firmware, rbk23w_firmware, cbk43_firmware, rbs20, rbk50v, ex8000_firmware, rbk20_router_firmware, rbk43s, rbk15, rbs10_firmware, rbr10, rbk50v_firmware, rbk12, cbk43, rbs40",HIGH,CWE-78,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2018-0055,CVE-2018-0055,"Receipt of a specially crafted DHCPv6 message destined to a Junos OS device configured as a DHCP server in a Broadband Edge (BBE) environment may result in a jdhcpd daemon crash. The daemon automatically restarts without intervention, but a continuous receipt of crafted DHCPv6 packets could leaded to an extended denial of service condition. This issue only affects Junos OS 15.1 and later. Earlier releases are unaffected by this issue. Devices are only vulnerable to the specially crafted DHCPv6 message if DHCP services are configured. Devices not configured to act as a DHCP server are not vulnerable to this issue. Affected releases are Juniper Networks Junos OS: 15.1 versions prior to 15.1R7-S2; 15.1X49 versions prior to 15.1X49-D160; 15.1X53 versions prior to 15.1X53-D235, 15.1X53-D495; 16.1 versions prior to 16.1R4-S11, 16.1R6-S6, 16.1R7-S2; 16.2 versions prior to 16.2R2-S7; 17.1 versions prior to 17.1R2-S9; 17.2 versions prior to 17.2R2-S6; 17.3 versions prior to 17.3R3-S1; 17.4 versions prior to 17.4R1-S5; 18.1 versions prior to 18.1R2-S3; 18.2 versions prior to 18.2R1-S2; 18.2X75 versions prior to 18.2X75-D20.",juniper,junos,MEDIUM,CWE-20,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2018-0057,CVE-2018-0057,"On MX Series and M120/M320 platforms configured in a Broadband Edge (BBE) environment, subscribers logging in with DHCP Option 50 to request a specific IP address will be assigned the requested IP address, even if there is a static MAC to IP address binding in the access profile. In the problem scenario, with a hardware-address and IP address configured under address-assignment pool, if a subscriber logging in with DHCP Option 50, the subscriber will not be assigned an available address from the matched pool, but will still get the requested IP address. A malicious DHCP subscriber may be able to utilize this vulnerability to create duplicate IP address assignments, leading to a denial of service for valid subscribers or unauthorized information disclosure via IP address assignment spoofing. Affected releases are Juniper Networks Junos OS: 15.1 versions prior to 15.1R7-S2, 15.1R8; 16.1 versions prior to 16.1R4-S12, 16.1R7-S2, 16.1R8; 16.2 versions prior to 16.2R2-S7, 16.2R3; 17.1 versions prior to 17.1R2-S9, 17.1R3; 17.2 versions prior to 17.2R1-S7, 17.2R2-S6, 17.2R3; 17.3 versions prior to 17.3R2-S4, 17.3R3; 17.4 versions prior to 17.4R2; 18.1 versions prior to 18.1R2-S3, 18.1R3.",juniper,junos,CRITICAL,NVD-CWE-noinfo,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2019-12264,CVE-2019-12264,"Wind River VxWorks 6.6, 6.7, 6.8, 6.9.3, 6.9.4, and Vx7 has Incorrect Access Control in IPv4 assignment by the ipdhcpc DHCP client component.","windriver, siemens, belden","hirschmann_dragon_mach4000, ruggedcom_win7200_firmware, hirschmann_eesx30, garrettcom_magnum_dx940e_firmware, ruggedcom_win7000, hirschmann_octopus_os3, hirschmann_rsp20, hirschmann_msp32, ruggedcom_win7018_firmware, hirschmann_rspe32, ruggedcom_win7000_firmware, hirschmann_msp40, hirschmann_grs1020, hirschmann_rspe35, hirschmann_grs1142, hirschmann_ees25, hirschmann_red25, hirschmann_grs1130, ruggedcom_win7025, hirschmann_rspe30, ruggedcom_win7025_firmware, hirschmann_rsp25, hirschmann_rail_switch_power_lite, ruggedcom_win7200, hirschmann_msp30, garrettcom_magnum_dx940e, hirschmann_eagle_one, hirschmann_ees20, hirschmann_rail_switch_power_smart, vxworks, hirschmann_grs1042, hirschmann_rsp35, hirschmann_dragon_mach4500, hirschmann_rsp30, hirschmann_rspe37, hirschmann_eagle20, hirschmann_eagle30, hirschmann_grs1030, ruggedcom_win7018, hirschmann_grs1120, hirschmann_eesx20, hirschmann_hios",HIGH,CWE-88,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2019-12513,CVE-2019-12513,"In NETGEAR Nighthawk X10-R900 prior to 1.0.4.24, by sending a DHCP discover request containing a malicious hostname field, an attacker may execute stored XSS attacks against this device. When the malicious DHCP request is received, the device will generate a log entry containing the malicious hostname. This log entry may then be viewed at Advanced settings->Administration->Logs to trigger the exploit. Although this value is inserted into a textarea tag, converted to all-caps, and limited in length, attacks are still possible.",netgear,"nighthawk_x10-r9000_firmware, nighthawk_x10-r9000",MEDIUM,CWE-79,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2013-5218,CVE-2013-5218,"Cross-site scripting (XSS) vulnerability on the HOT HOTBOX router with software 2.1.11 allows remote attackers to inject arbitrary web script or HTML via a crafted DHCP Host Name option, which is not properly handled during rendering of the DHCP table in wlanAccess.asp.",hot,"hotbox_router_firmware, hotbox_router",LOW,CWE-79,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",
CVE-2006-2372,CVE-2006-2372,"Buffer overflow in the DHCP Client service for Microsoft Windows 2000 SP4, Windows XP SP1 and SP2, and Server 2003 up to SP1 allows remote attackers to execute arbitrary code via a crafted DHCP response.",microsoft,dhcp_client_service,HIGH,CWE-119,DHCP,Related,Implementation,"The vulnerability is due to a buffer overflow in the implementation of the DHCP Client service, which allows remote attackers to execute arbitrary code via a crafted DHCP response.",
