CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2006-0475,CVE-2006-0475,"PHP-Ping 1.3 does not properly validate ping counts, which allows remote attackers to cause a denial of service (ping flood) via a negative count parameter.",theworldsend.net,php-ping,MEDIUM,NVD-CWE-Other,ICMP,Dependent,Implementation,The problem is not with the logic of how the ping function is supposed to work but rather with the specific implementation of input validation- did not validate the count number. ICMP protocol because it is directly related to how PHP-Ping handles the ICMP ping count parameter. dependent because it is a problem with handling counters and not the protocol itself.,
CVE-2012-5363,CVE-2012-5363,"The IPv6 implementation in FreeBSD and NetBSD (unknown versions, year 2012 and earlier) allows remote attackers to cause a denial of service via a flood of ICMPv6 Neighbor Solicitation messages, a different vulnerability than CVE-2011-2393.","freebsd, netbsd","freebsd, netbsd",HIGH,CWE-400,ICMP,Dependent,Implementation,"It is described in the title that this problem specifically origins in the implementation in FreeBSD and NetBSD. It is ICMP related because it is a problem with ICMPv6 Neighbor Solicitation messages, which are part of the IPv6 protocol ",
CVE-2010-0239,CVE-2010-0239,"The TCP/IP implementation in Microsoft Windows Vista Gold, SP1, and SP2 and Server 2008 Gold and SP2, when IPv6 is enabled, does not properly perform bounds checking on ICMPv6 Router Advertisement packets, which allows remote attackers to execute arbitrary code via crafted packets, aka ""ICMPv6 Router Advertisement Vulnerability.""",microsoft,"windows_server_2008, windows_vista",HIGH,CWE-94,ICMP,Dependent,Implementation,Implementation problem because the vulnerability arises from a lack of proper bounds checking on incoming ICMPv6 Router Advertisement packets. ICMP because related to the handling of ICMPv6 Router Advertisement packets in the TCP/IP.,
CVE-2019-10639,CVE-2019-10639,"The Linux kernel 4.x (starting from 4.1) and 5.x before 5.0.8 allows Information Exposure (partial kernel address disclosure), leading to a KASLR bypass. Specifically, it is possible to extract the KASLR kernel image offset using the IP ID values the kernel produces for connection-less protocols (e.g., UDP and ICMP). When such traffic is sent to multiple destination IP addresses, it is possible to obtain hash collisions (of indices to the counter array) and thereby obtain the hashing key (via enumeration). This key contains enough bits from a kernel address (of a static variable) so when the key is extracted (via enumeration), the offset of the kernel image is exposed. This attack can be carried out remotely, by the attacker forcing the target device to send UDP or ICMP (or certain other) traffic to attacker-controlled IP addresses. Forcing a server to send UDP traffic is trivial if the server is a DNS server. ICMP traffic is trivial if the server answers ICMP Echo requests (ping). For client targets, if the target visits the attacker's web page, then WebRTC or gQUIC can be used to force UDP traffic to attacker-controlled IP addresses. NOTE: this attack against KASLR became viable in 4.1 because IP ID generation was changed to have a dependency on an address associated with a network namespace.",linux,linux_kernel,HIGH,CWE-326,ICMP,Dependent,Implementation,"The vulnerability exploits the behavior of the Linux kernel's handling of ICMP packets, particularly ICMP ID generation, to bypass Kernel Address Space Layout Randomization (KASLR). It involves manipulating ICMP traffic to extract kernel address information, which is then used to bypass KASLR. The vulnerability stems from how the Linux kernel's implementation handles ICMP packets, specifically the generation of ICMP ID values.",
CVE-2011-2059,CVE-2011-2059,"The ipv6 component in Cisco IOS before 15.1(4)M1.3 allows remote attackers to conduct fingerprinting attacks and obtain potentially sensitive information about the presence of the IOS operating system via an ICMPv6 Echo Request packet containing a Hop-by-Hop (HBH) extension header (EH) with a 0x0c01050c value in the PadN option data, aka Bug ID CSCtq02219.",cisco,ios,MEDIUM,CWE-200,ICMP,Related,Implementation,"It is related to ICMPv6, specifically, involves an ICMPv6 Echo Request packet containing a Hop-by-Hop (HBH) extension header with specific data. The problem arises from how Cisco IOS implements the handling of ICMPv6 packets with specific content in the PadN option. It is related because it involves a specific value in the packet.",
CVE-2011-4012,CVE-2011-4012,"Cisco IOS 12.0, 15.0, and 15.1, when a Policy Feature Card 3C (PFC3C) is used, does not create a fragment entry during processing of an ICMPv6 ACL, which has unspecified impact and remote attack vectors, aka Bug ID CSCtj90091.",cisco,ios,HIGH,NVD-CWE-Other,ICMP,Dependent,Implementation,The vulnerability is described as a failure in Cisco IOS to create a fragment entry during the processing of an ICMPv6 ACL when a Policy Feature Card 3C is used. This suggests that there is an error or oversight in how the software is implemented in handling ICMPv6 ACLs in conjunction with PFC3C. It involves the processing of ICMPv6 Access Control Lists in Cisco IOS systems when using a Policy Feature Card 3C.,
CVE-2002-2315,CVE-2002-2315,"Cisco IOS 11.2.x and 12.0.x does not limit the size of its redirect table, which allows remote attackers to cause a denial of service (memory consumption) via spoofed ICMP redirect packets to the router.",cisco,ios,HIGH,NVD-CWE-Other,ICMP,Dependent,Implementation,The vulnerability involves ICMP redirect packets. The problem is that the software does not impose a limit on the size of the redirect table. This indicates a problem in the implementation that should control the amount of memory allocated for this table.,
CVE-2000-0619,CVE-2000-0619,Top Layer AppSwitch 2500 allows remote attackers to cause a denial of service via malformed ICMP packets.,toplayer,appswitch,MEDIUM,NVD-CWE-Other,ICMP,Related,Implementation,"The issue arises from how the Top Layer AppSwitch 2500 handles ICMP packets, therefor it is an implementation problem. It is related to the protocol because filling its fields with malformed information causes the problem.",
CVE-2021-32019,CVE-2021-32019,"There is missing input validation of host names displayed in OpenWrt before 19.07.8. The Connection Status page of the luci web-interface allows XSS, which can be used to gain full control over the affected system via ICMP.",openwrt,openwrt,MEDIUM,CWE-79,ICMP,Dependent,Implementation,"Lack of input validation- an implementation problem. The issue arises because the luci web interface does not properly validate or sanitize the host names before displaying them, allowing for XSS attacks. ICMP as it says in the description.",
CVE-2016-10728,CVE-2016-10728,"An issue was discovered in Suricata before 3.1.2. If an ICMPv4 error packet is received as the first packet on a flow in the to_client direction, it confuses the rule grouping lookup logic. The toclient inspection will then continue with the wrong rule group. This can lead to missed detection.",suricata-ids,suricata,MEDIUM,CWE-20,ICMP,Dependent,Implementation,The vulnerability is specific to how Suricata handles ICMPv4 error packets. The issue is an implementation problem in Suricata's rule grouping and traffic inspection logic.,
