CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2018-1658,CVE-2018-1658,"IBM Jazz Foundation (IBM Rational Collaborative Lifecycle Management 5.0 through 6.0.6) is vulnerable to HTTP header injection, caused by improper validation of input. By persuading a victim to visit a specially-crafted Web page, a remote attacker could exploit this vulnerability to inject arbitrary HTTP headers, which will allow the attacker to conduct various attacks against the vulnerable system, including cross-site scripting, cache poisoning or session hijacking. IBM X-Force ID: 144884.",ibm,rational_collaborative_lifecycle_management,MEDIUM,CWE-20,None,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,None,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,
CVE-2020-10772,CVE-2020-10772,"An incomplete fix for CVE-2020-12662 was shipped for Unbound in Red Hat Enterprise Linux 7, as part of erratum RHSA-2020:2414. Vulnerable versions of Unbound could still amplify an incoming query into a large number of queries directed to a target, even with a lower amplification ratio compared to versions of Unbound that shipped before the mentioned erratum. This issue is about the incomplete fix for CVE-2020-12662, and it does not affect upstream versions of Unbound.","nlnetlabs, redhat","enterprise_linux, unbound",HIGH,CWE-400,None,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,
CVE-2019-25037,CVE-2019-25037,"** DISPUTED ** Unbound before 1.9.5 allows an assertion failure and denial of service in dname_pkt_copy via an invalid packet. NOTE: The vendor disputes that this is a vulnerability. Although the code may be vulnerable, a running Unbound installation cannot be remotely or locally exploited.","nlnetlabs, debian","debian_linux, unbound",HIGH,CWE-617,None,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,None,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,
CVE-2012-0068,CVE-2012-0068,The lanalyzer_read function in wiretap/lanalyzer.c in Wireshark 1.4.x before 1.4.11 and 1.6.x before 1.6.5 allows remote attackers to cause a denial of service (application crash) via a Novell capture file containing a record that is too small.,wireshark,wireshark,MEDIUM,CWE-20,None,Unrelated,Implementation,the attack releate to wiretap and a running application,
CVE-2021-40831,CVE-2021-40831,"The AWS IoT Device SDK v2 for Java, Python, C++ and Node.js appends a user supplied Certificate Authority (CA) to the root CAs instead of overriding it on macOS systems. Additionally, SNI validation is also not enabled when the CA has been “overridden”. TLS handshakes will thus succeed if the peer can be verified either from the user-supplied CA or the system’s default trust-store. Attackers with access to a host’s trust stores or are able to compromise a certificate authority already in the host's trust store (note: the attacker must also be able to spoof DNS in this case) may be able to use this issue to bypass CA pinning. An attacker could then spoof the MQTT broker, and either drop traffic and/or respond with the attacker's data, but they would not be able to forward this data on to the MQTT broker because the attacker would still need the user's private keys to authenticate against the MQTT broker. The 'aws_tls_ctx_options_override_default_trust_store_*' function within the aws-c-io submodule has been updated to address this behavior. This issue affects: Amazon Web Services AWS IoT Device SDK v2 for Java versions prior to 1.5.0 on macOS. Amazon Web Services AWS IoT Device SDK v2 for Python versions prior to 1.7.0 on macOS. Amazon Web Services AWS IoT Device SDK v2 for C++ versions prior to 1.14.0 on macOS. Amazon Web Services AWS IoT Device SDK v2 for Node.js versions prior to 1.6.0 on macOS. Amazon Web Services AWS-C-IO 0.10.7 on macOS.","apple, amazon","amazon_web_services_aws-c-io, amazon_web_services_internet_of_things_device_software_development_kit_v2, macos",HIGH,CWE-295,None,Related,Logic,"
The vulnerability exploits how the Certificate Authority (CA) is handled during host authentication. Attackers execute the attack by spoofing DNS, gaining access to the host's trust store. By doing so he can bypass CA pinning and intercepting or manipulating traffic. DNS spoofing allows attackers to inject fake DNS responses, tricking the system into trusting malicious entities.",
CVE-2016-5933,CVE-2016-5933,IBM Tivoli Monitoring 6.2 and 6.3 is vulnerable to possible host header injection attack that could lead to HTTP cache poisoning or firewall bypass. IBM Reference #: 1997223.,ibm,tivoli_monitoring,MEDIUM,CWE-254,None,Unrelated,Implementation,impoper implementaion of the appliance. the attack related to HTTP,
CVE-2018-17013,CVE-2018-17013,"An issue was discovered on TP-Link TL-WR886N 6.0 2.3.4 and TL-WR886N 7.0 1.1.0 devices. Authenticated attackers can crash router services (e.g., inetd, HTTP, DNS, and UPnP) via long JSON data for protocol wan wan_rate.",tp-link,"tl-wr886n, tl-wr886n_firmware",MEDIUM,NVD-CWE-noinfo,None,Unrelated,Implementation,"could have said DNS and depened cause the attacker can shuts the service, and there is a service only if there is workink DNS but I set the answer like that becuase the DNS here *could* be the viticm and the attack has nothing to do with DNS besides being a target service",
CVE-2021-33193,CVE-2021-33193,"A crafted method sent through HTTP/2 will bypass validation and be forwarded by mod_proxy, which can lead to request splitting or cache poisoning. This issue affects Apache HTTP Server 2.4.17 to 2.4.48.","oracle, fedoraproject, tenable, apache","http_server, secure_backup, zfs_storage_appliance_kit, fedora, tenable.sc",HIGH,NVD-CWE-Other,None,Unrelated,,"The description has nothing related to DHCP or DNS, talking about vulneraility in HTTP2 ",
CVE-2017-1000397,CVE-2017-1000397,"Jenkins Maven Plugin 2.17 and earlier bundled a version of the commons-httpclient library with the vulnerability CVE-2012-6153 that incorrectly verified SSL certificates, making it susceptible to man-in-the-middle attacks. Maven Plugin 3.0 no longer has a dependency on commons-httpclient.",jenkins,maven,MEDIUM,CWE-20,None,Unrelated,Implementation,"The vulnerability is related to SSL/TLS  and HTTPS communication. The vulnerability involves improper verification of SSL certificates, it is a problem with how the library implements SSL certificate validation.",
CVE-2015-1852,CVE-2015-1852,"The s3_token middleware in OpenStack keystonemiddleware before 1.6.0 and python-keystoneclient before 1.4.0 disables certification verification when the ""insecure"" option is set in a paste configuration (paste.ini) file regardless of the value, which allows remote attackers to conduct man-in-the-middle attacks via a crafted certificate, a different vulnerability than CVE-2014-7144.","canonical, openstack","keystonemiddleware, ubuntu_linux, python-keystoneclient",MEDIUM,CWE-17,None,Unrelated,Implementation,"It pertains to SSL/TLS certificate verification within the s3_token middleware component. It incorrectly disables certificate verification when the ""insecure"" option is set in the paste configuration file, regardless of the intended value. This is an error in the implementation of the SSL certificate verification.",
CVE-2009-2518,CVE-2009-2518,"Integer overflow in GDI+ in Microsoft Office XP SP3 allows remote attackers to execute arbitrary code via an Office document with a bitmap (aka BMP) image that triggers memory corruption, aka ""Office BMP Integer Overflow Vulnerability.""",microsoft,office,HIGH,CWE-189,None,Unrelated,Implementation,It is specific to image processing within Microsoft Office. The issue is an implementation problem within GDI+. The handling of BMP images should include proper checks to prevent integer overflow.,
CVE-2013-3989,CVE-2013-3989,"IBM Security AppScan Enterprise 8.x before 8.8 sends a cleartext AppScan Source database password in a response, which allows remote authenticated users to obtain sensitive information, and subsequently conduct man-in-the-middle attacks, by examining the response content.",ibm,security_appscan,LOW,CWE-310,None,Unrelated,Implementation,"It pertains to the security practices within the application itself. The issue is an implementation problem, where the application fails to properly secure sensitive information",
CVE-2020-15802,CVE-2020-15802,"Devices supporting Bluetooth before 5.1 may allow man-in-the-middle attacks, aka BLURtooth. Cross Transport Key Derivation in Bluetooth Core Specification v4.2 and v5.0 may permit an unauthenticated user to establish a bonding with one transport, either LE or BR/EDR, and replace a bonding already established on the opposing transport, BR/EDR or LE, potentially overwriting an authenticated key with an unauthenticated key, or a key with greater entropy with one with less.",bluetooth,bluetooth_core_specification,MEDIUM,CWE-287,None,Unrelated,Implementation,"The problem is with implementation, it stems from how the Cross Transport Key Derivation feature was implemented without sufficient security controls, it specifically pertains to Bluetooth technology.",
CVE-2019-1748,CVE-2019-1748,"A vulnerability in the Cisco Network Plug-and-Play (PnP) agent of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to gain unauthorized access to sensitive data. The vulnerability exists because the affected software insufficiently validates certificates. An attacker could exploit this vulnerability by supplying a crafted certificate to an affected device. A successful exploit could allow the attacker to conduct man-in-the-middle attacks to decrypt and modify confidential information on user connections to the affected software.",cisco,"ios, ios_xe",HIGH,CWE-295,None,Unrelated,Implementation,"The vulnerability arises from the way the Cisco PnP agent implements certificate validation. Insufficient validation of certificates allows an attacker to supply a crafted certificate, which is then improperly accepted by the affected software.",
CVE-2020-27184,CVE-2020-27184,"The NPort IA5000A Series devices use Telnet as one of the network device management services. Telnet does not support the encryption of client-server communications, making it vulnerable to Man-in-the-Middle attacks.",moxa,"nport_ia5250a_firmware, nport_ia5150a_firmware, nport_ia5450a_firmware, nport_ia5150a, nport_ia5250a, nport_ia5450a",MEDIUM,CWE-326,None,Unrelated,Implementation,It pertains to the use of Telnet as a network device management service on the NPort IA5000A Series devices. The vulnerability related to the use of Telnet on the NPort IA5000A Series devices is due to an implementation problem.,
CVE-2017-9185,CVE-2017-9185,"libautotrace.a in AutoTrace 0.31.1 has a ""cannot be represented in type int"" issue in input-bmp.c:319:7.",autotrace_project,autotrace,CRITICAL,CWE-190,None,Unrelated,Implementation,"The code at the specified location encounters a ""cannot be represented in type int"" issue. This implies that there is an integer overflow or type mismatch problem at this point in the code, therefor implementation problem.",
CVE-2021-34296,CVE-2021-34296,"A vulnerability has been identified in JT2Go (All versions < V13.2), Teamcenter Visualization (All versions < V13.2). The BMP_Loader.dll library in affected applications lacks proper validation of user-supplied data when parsing BMP files. This could result in an out of bounds read past the end of an allocated buffer. An attacker could leverage this vulnerability to execute code in the context of the current process. (ZDI-CAN-13057)",siemens,"teamcenter_visualization, jt2go",HIGH,CWE-125,None,Unrelated,Implementation,The library lacks proper validation of user-supplied data when parsing BMP files. This results in an out of bounds read past the end of an allocated buffer. Stems from the lack of proper input validation when parsing BMP files.,
CVE-2007-1008,CVE-2007-1008,"Apple iTunes 7.0.2 allows user-assisted remote attackers to cause a denial of service (application crash) via a crafted XML list of radio stations, which results in memory corruption.  NOTE: iTunes retrieves the XML document from a static URL, which requires an attacker to perform DNS spoofing or man-in-the-middle attacks for exploitation.",apple,itunes,LOW,NVD-CWE-Other,None,Unrelated,Implementation,"Implementation problem. The issue lies in how iTunes handles the XML list of radio stations, leading to memory corruption when processing a malformed document.",
CVE-2018-7639,CVE-2018-7639,"An issue was discovered in CImg v.220. A heap-based buffer over-read in load_bmp in CImg.h occurs when loading a crafted bmp image, a different vulnerability than CVE-2018-7588. This is in a ""16 bits colors"" case, aka case 16.",cimg,cimg,HIGH,CWE-125,None,Unrelated,Implementation,"Implementation problem. The issue is caused by improper handling and validation of BMP image data within the load_bmp function, leading to a buffer over-read.",
CVE-2013-7437,CVE-2013-7437,"Multiple integer overflows in potrace 1.11 allow remote attackers to cause a denial of service (crash) via large dimensions in a BMP image, which triggers a buffer overflow.",icoasoft,potrace,MEDIUM,CWE-189,None,Unrelated,Implementation,"Implementation problem within potrace. The software does not correctly handle boundary conditions for image dimensions, leading to integer overflows and subsequent crashes. Related to BMP.",
CVE-2019-19790,CVE-2019-19790,"Path traversal in RadChart in Telerik UI for ASP.NET AJAX allows a remote attacker to read and delete an image with extension .BMP, .EXIF, .GIF, .ICON, .JPEG, .PNG, .TIFF, or .WMF on the server through a specially crafted request. NOTE: RadChart was discontinued in 2014 in favor of RadHtmlChart. All RadChart versions were affected. To avoid this vulnerability, you must remove RadChart's HTTP handler from a web.config (its type is Telerik.Web.UI.ChartHttpHandler).",telerik,"ui_for_asp.net_ajax, radchart",CRITICAL,CWE-22,None,Unrelated,Implementation,It involves web application security and path traversal within the Telerik UI for ASP.NET AJAX framework. Implementation problem within RadChart where insufficient checks and controls allow unauthorized access to files on the server through crafted requests.,
