CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2019-19215,CVE-2019-19215,"A buffer overflow vulnerability in BMC Control-M/Agent 7.0.00.000 when the On-Do action destination is Mail and the Control-M/Agent is configured to send the email, allows remote attackers to have unspecified impact via vectors related to the configured IP address or SMTP server.",bmcsoftware,control-m\/agent,HIGH,CWE-120,SMTP,Dependent,Implementation,"Exploatation occours through the protocol, but don’t exploit the protocol itself. In addition, the implementation of the SMTP protocol includes improper use of a buffer, that leads to a buffer overflow under certain conditions",
CVE-2021-31987,CVE-2021-31987,A user controlled parameter related to SMTP test functionality is not correctly validated making it possible to bypass blocked network recipients.,axis,"axis_os_2016, axis_os, axis_os_2020, axis_os_2018",HIGH,CWE-20,SMTP,Related,Implementation,"This cve exploits a flaw in the STMP test functionality. The vulnerability stems from a failure to validate user-controlled input properly within the SMTP test functionality, which is an implementation flaw.",
CVE-2003-0714,CVE-2003-0714,"The Internet Mail Service in Exchange Server 5.5 and Exchange 2000 allows remote attackers to cause a denial of service (memory exhaustion) by directly connecting to the SMTP service and sending a certain extended verb request, possibly triggering a buffer overflow in Exchange 2000.",microsoft,exchange_server,HIGH,CWE-400,SMTP,Related,Implementation,The vulnerability directly affects the operation of the protocol by creating dos.  Implementation flaws leads to improper handling of extended verb requests leads to a buffer overflow in Exchange 2000 and causes memory exhaustion in both Exchange Server 5.5 and Exchange 2000.,
CVE-2000-1129,CVE-2000-1129,McAfee WebShield SMTP 4.5 allows remote attackers to cause a denial of service via a malformed recipient field.,network_associates,webshield_smtp,MEDIUM,NVD-CWE-Other,SMTP,Related,Implementation,The vulnerability directly affects the operation of the protocol by creating dos.  The vulnerability origin is malformed recipient field - hence its origin is implementation,
CVE-2007-4565,CVE-2007-4565,sink.c in fetchmail before 6.3.9 allows context-dependent attackers to cause a denial of service (NULL dereference and application crash) by refusing certain warning messages that are sent over SMTP.,fetchmail,fetchmail,MEDIUM,NVD-CWE-Other,SMTP,Related,Implementation,"The vulnerability directly affects the operation of the protocol by creating dos. Implementation flaws in sink.c leads the software to false in handeling certain types of STMP messages, creating null pointer.",
CVE-2008-7074,CVE-2008-7074,"Format string vulnerability in MemeCode Software i.Scribe 1.88 through 2.00 before Beta9 allows remote SMTP servers to cause a denial of service (crash) and possibly execute arbitrary code via format string specifiers in a server response, which is not properly handled ""when displaying the signon message.""",memcode,i.scribe,HIGH,CWE-134,SMTP,Related,Implementation,The vulnerability uses the protocol itself to cause dos and execute code. Implementation flaws in i.scribe leads to mishandles format string specifiers in SMTP.,
CVE-2006-5551,CVE-2006-5551,Stack-based buffer overflow in QK SMTP 3.01 and earlier might allow remote attackers to execute arbitrary code via a long argument to the RCPT TO command.,qksoft,qk_smtp,HIGH,NVD-CWE-Other,SMTP,Related,Implementation,"The vulnerability is related to SMTP since it uses buffer overflow created there, and changing the protocol execution. The buffer overflow is a reasult of an implementation flaw.",
CVE-2005-1013,CVE-2005-1013,The SMTP service in MailEnable Enterprise 1.04 and earlier and Professional 1.54 and earlier allows remote attackers to cause a denial of service (server crash) via an EHLO command with a Unicode string.,mailenable,"mailenable_enterprise, mailenable_professional",MEDIUM,NVD-CWE-Other,SMTP,Related,Implementation,The vulnerability directly affects the operation of the protocol by creating dos. The vulnerability is lead by an implementation flaw where MailEnable fails to correctly process EHLO commands containing Unicode strings.,
CVE-2021-38189,CVE-2021-38189,"An issue was discovered in the lettre crate before 0.9.6 for Rust. In an e-mail message body, an attacker can place a . character after two <CR><LF> sequences and then inject arbitrary SMTP commands.",lettre,lettre,CRITICAL,CWE-77,SMTP,Related,Implementation,The vulnerability exploit implementation flaw in the parsing of the STMP message to inject SSTMP commands.,
CVE-2007-5094,CVE-2007-5094,"Heap-based buffer overflow in iaspam.dll in the SMTP Server in Ipswitch IMail Server 8.01 through 8.11 allows remote attackers to execute arbitrary code via a set of four different e-mail messages with a long boundary parameter in a certain malformed Content-Type header line, the string ""MIME"" by itself on a line in the header, and a long Content-Transfer-Encoding header line.",ipswitch,imail,HIGH,CWE-119,SMTP,Dependent,Implementation,"The vulnerability required the protocol to be used but not exploiting it directly, as it exploits the pswitch IMail Server. An implementation flaw leeds to improper validatiom of the SMTP message.",
CVE-2017-7229,CVE-2017-7229,"PGP/MIME encrypted messages injected into a Vaultive O365 (before 4.5.21) frontend via IMAP or SMTP have their Content-Type changed from 'Content-Type: multipart/encrypted; protocol=""application/pgp-encrypted""; boundary=""abc123abc123""' to 'Content-Type: text/plain' - this results in the encrypted message being structured in such a way that most PGP/MIME-capable mail user agents are unable to decrypt it cleanly. The outcome is that encrypted mail passing through this device does not work (Denial of Service), and a common real-world consequence is a request to resend the mail in the clear (Information Disclosure).",vaultive,office_365_security,CRITICAL,CWE-326,SMTP,Dependent,Implementation,"The vulnerability required the protocol to be used but not exploiting it directly, as it exploits the Vaultive O365 .  It results from implementation errors in how Vaultive O365 implements the handling and transformation of PGP/MIME encrypted messages.",
CVE-2005-1781,CVE-2005-1781,Unknown vulnerability in SMTP authentication for MailEnable allows remote attackers to cause a denial of service (crash).,mailenable,"mailenable_enterprise, mailenable_professional",MEDIUM,NVD-CWE-Other,SMTP,Related,Implementation,"The vilnerability directly involves the SMTP protocol because the vulnerability occurs during the authentication phase of SMTP sessions handled by MailEnable, due to implementation error in it. ",
