CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2001-1382,CVE-2001-1382,openbsd,,openssh,MEDIUM,NVD-CWE-Other,SSH,Related,Implementation,"The issue is in the implementation of ssh protocol via the OpenSSH tool, where an additional packet sent can be exploited. ","The ""echo simulation"" traffic analysis countermeasure in OpenSSH before 2.9.9p2 sends an additional echo packet after the password and carriage return is entered, which could allow remote attackers to determine that the countermeasure is being used."
CVE-2018-15473,CVE-2018-15473,"openbsd, redhat, oracle, canonical, siemens, netapp, debian",,"debian_linux, data_ontap_edge, scalance_x204rna_firmware, steelstore_cloud_integrated_storage, oncommand_unified_manager, service_processor, virtual_storage_console, storage_replication_adapter, sun_zfs_storage_appliance_kit, clustered_data_ontap, enterprise_linux_workstation, fas_baseboard_management_controller, data_ontap, vasa_provider, cloud_backup, cn1610, openssh, enterprise_linux_desktop, scalance_x204rna, enterprise_linux_server, cn1610_firmware, aff_baseboard_management_controller, ubuntu_linux, ontap_select_deploy",MEDIUM,CWE-362,SSH,Related,Implementation,"Bad implementation of ssh protocol in the OpenSSH tool, where there is improper handling of auth requests.","OpenSSH through 7.7 is prone to a user enumeration vulnerability due to not delaying bailout for an invalid authenticating user until after the packet containing the request has been fully parsed, related to auth2-gss.c, auth2-hostbased.c, and auth2-pubkey.c."
CVE-2019-3918,CVE-2019-3918,nokia,,"i-240w-q_gpon_ont, i-240w-q_gpon_ont_firmware",CRITICAL,CWE-798,SSH,Dependent,Implementation,The issue is exploitation of Hardcoded credentials of SSH (thus dependency and not related to SSH) in the firmware,The Alcatel Lucent I-240W-Q GPON ONT using firmware version 3FE54567BOZJ19 contains multiple hard coded credentials for the Telnet and SSH interfaces.
CVE-1999-1085,CVE-1999-1085,ssh,,secure_shell,MEDIUM,NVD-CWE-Other,SSH,Related,Logic,The vulnerabillity arises due to the design of SSH handling of CBC/CFB modes and CRC-32 checksums. a logical vulnerability.  ,"SSH 1.2.25, 1.2.23, and other versions, when used in in CBC (Cipher Block Chaining) or CFB (Cipher Feedback 64 bits) modes, allows remote attackers to insert arbitrary data into an existing stream between an SSH client and server by using a known plaintext attack and computing a valid CRC-32 checksum for the packet, aka the ""SSH insertion attack."""
CVE-2016-3654,CVE-2016-3654,paloaltonetworks,,pan-os,HIGH,CWE-20,SSH,Related,Implementation,Implementation flaw in Palo alto PAN-OS due to improper validation of SSH command parameters,"The device management command line interface (CLI) in Palo Alto Networks PAN-OS before 5.0.18, 5.1.x before 5.1.11, 6.0.x before 6.0.13, 6.1.x before 6.1.10, and 7.0.x before 7.0.5H2 allows remote authenticated administrators to execute arbitrary OS commands via an SSH command parameter."
CVE-2013-3594,CVE-2013-3594,dell,,"powerconnect_5324, powerconnect_3348, powerconnect_3524p",HIGH,CWE-20,SSH,Related,Implementation,Implementation flaw in dell machines which allows to perform DOS attack using SSH connection. correct implementation would have made it not possible.,"The SSH service on Dell PowerConnect 3348 1.2.1.3, 3524p 2.0.0.48, and 5324 2.0.1.4 switches allows remote attackers to cause a denial of service (device reset) or possibly execute arbitrary code by sending many packets to TCP port 22."
CVE-2020-5759,CVE-2020-5759,grandstream,,"ucm6204, ucm6208_firmware, ucm6202, ucm6208, ucm6202_firmware, ucm6204_firmware",CRITICAL,CWE-78,SSH,Related,Implementation,Implementation flaw due to expliotation of SSH crafted command. ,"Grandstream UCM6200 series firmware version 1.0.20.23 and below is vulnerable to OS command injection via SSH. An authenticated remote attacker can execute commands as the root user by issuing a specially crafted ""unset"" command."
CVE-2008-3844,CVE-2008-3844,"openbsd, redhat",,"enterprise_linux_desktop, enterprise_linux, openssh",HIGH,CWE-20,SSH,Dependent,Implementation,"Implementation flaw due to supply chain compromise.  Its dependent on SSH protocol as the malicious code is embedded in OpenSSH software, and the exploit relies on the SSH service being active to execute the malicious payload.","Certain Red Hat Enterprise Linux (RHEL) 4 and 5 packages for OpenSSH, as signed in August 2008 using a legitimate Red Hat GPG key, contain an externally introduced modification (Trojan Horse) that allows the package authors to have an unknown impact.  NOTE: since the malicious packages were not distributed from any official Red Hat sources, the scope of this issue is restricted to users who may have obtained these packages through unofficial distribution points.  As of 20080827, no unofficial distributions of this software are known."
CVE-2017-6767,CVE-2017-6767,cisco,,application_policy_infrastructure_controller,HIGH,CWE-269,SSH,Dependent,Implementation,implementation fault which is being used by logging in with SSH. the implementation fault does not exploit the protocol by itself but it has dependency of using it. ,"A vulnerability in Cisco Application Policy Infrastructure Controller (APIC) could allow an authenticated, remote attacker to gain higher privileges than the account is assigned. The attacker will be granted the privileges of the last user to log in, regardless of whether those privileges are higher or lower than what should have been granted. The attacker cannot gain root-level privileges. The vulnerability is due to a limitation with how Role-Based Access Control (RBAC) grants privileges to remotely authenticated users when login occurs via SSH directly to the local management interface of the APIC. An attacker could exploit this vulnerability by authenticating to the targeted device. The attacker's privilege level will be modified to match that of the last user to log in via SSH. An exploit could allow the attacker to gain elevated privileges and perform CLI commands that should be restricted by the attacker's configured role. Cisco Bug IDs: CSCvc34335. Known Affected Releases: 1.0(1e), 1.0(1h), 1.0(1k), 1.0(1n), 1.0(2j), 1.0(2m), 1.0(3f), 1.0(3i), 1.0(3k), 1.0(3n), 1.0(4h), 1.0(4o); 1.1(0.920a), 1.1(1j), 1.1(3f); 1.2 Base, 1.2(2), 1.2(3), 1.2.2; 1.3(1), 1.3(2), 1.3(2f); 2.0 Base, 2.0(1)."
CVE-2016-4927,CVE-2016-4927,juniper,,junos_space,HIGH,CWE-20,SSH,Related,Implementation,Implementation flaw due insufficient validation of SSH keys.,Insufficient validation of SSH keys in Junos Space before 15.2R2 allows man-in-the-middle (MITM) type of attacks while a Space device is communicating with managed devices.
