CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2014-5972,CVE-2014-5972,"The Loving - Couple Essential (aka com.xiaoenai.app) application 4.0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",loving.fm,loving_-_couple_essential,MEDIUM,CWE-310,SSL,Related,Implementation,"Incorrect implementation, there is a problem with the SSL certificate verification process (failed to verify X.509 certificates from SSL servers), the vulnerability allows man-in-the-middle attacks.",
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,SSL,Related,Implementation,incorrect implementation of the SSL signature verification process within the BIND software.(BIND's improper checking allows bypassing certificate validation). This flaw in SSL signature verification results in a security bypass and related directly to SSL protocol.,
CVE-2018-0650,CVE-2018-0650,"The LINE MUSIC for Android version 3.1.0 to versions prior to 3.6.5 does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",linecorp,line_music,HIGH,CWE-295,SSL,Related,Implementation,"Incorrect application, there is a problem with the SSL certificate verification process (LINE MUSIC application fails to verify X.509 certificates from SSL servers), the vulnerability allows ""man-in-the-middle"" attacks. Therefore related to the SSL protocol.",
CVE-2014-5652,CVE-2014-5652,"The Kicksend Photo Prints (aka com.kicksend.android.print) application 1.0.7 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",kicksend,kicksend_photo_prints,MEDIUM,CWE-310,SSL,Dependent,Implementation,"Incorrect implementation, incorrect implementation of SSL certificate validation. (The Kicksend Photo Prints app does not verify SSL certificates). which enables man-in-the-middle attacks. If SSL certificates were verified the vulnerability would not exist making the vulnerability dependent on the SSL protocol.",
CVE-2020-15953,CVE-2020-15953,"LibEtPan through 1.9.4, as used in MailCore 2 through 0.6.3 and other products, has a STARTTLS buffering issue that affects IMAP, SMTP, and POP3. When a server sends a ""begin TLS"" response, the client reads additional data (e.g., from a meddler-in-the-middle attacker) and evaluates it in a TLS context, aka ""response injection.""","fedoraproject, libmailcore, debian, libetpan_project","mailcore2, debian_linux, fedora, libetpan",HIGH,CWE-74,SSL,Related,Implementation,"incorrect implementation, the vulnerability is a result of an incorrect implementation of buffer management within the LibEtPan library when establishing a secure SSL connection. Therefore related to the SSL protocol.",
CVE-2012-0732,CVE-2012-0732,"The Enterprise Console client in IBM Rational AppScan Enterprise 5.x and 8.x before 8.5.0.1 does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",ibm,rational_appscan,MEDIUM,CWE-310,SSL,Dependent,Implementation,"Incorrect implementation, there is a problem with the SSL certificate verification process (The IBM Rational AppScan Enterprise client does not verify X.509 certificates), the vulnerability allows man-in-the-middle attacks. If SSL certificates were verified the vulnerability would not exist making the vulnerability dependent on the SSL protocol.",
CVE-2015-1790,CVE-2015-1790,"The PKCS7_dataDecodefunction in crypto/pkcs7/pk7_doit.c in OpenSSL before 0.9.8zg, 1.0.0 before 1.0.0s, 1.0.1 before 1.0.1n, and 1.0.2 before 1.0.2b allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a PKCS#7 blob that uses ASN.1 encoding and lacks inner EncryptedContent data.",openssl,openssl,MEDIUM,NVD-CWE-Other,SSL,Related,Implementation,"incorrect implementation, incorrect implementation within the OpenSSL library, the flaw impacts the SSL handling of encoded data (allowing DOS attack). Therefor It's related to SSL protocol.",
CVE-2014-7777,CVE-2014-7777,"The Slingshot Forum (aka com.tapatalk.theslingshotforumcom) application 3.9.14 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",gcspublishing,slingshot_forum,MEDIUM,CWE-310,SSL,Related,Implementation,"Incorrect implementation, there is a problem with the SSL certificate verification process, the vulnerability results from The fact Slingshot Forum application does not verify X.509 certificates (allowing  man-in-the-middle attacks). Therefor It's related to SSL protocol.",
CVE-2010-1802,CVE-2010-1802,"libsecurity in Apple Mac OS X 10.5.8 and 10.6.4 does not properly perform comparisons to domain-name strings in X.509 certificates, which allows man-in-the-middle attackers to spoof SSL servers via a certificate associated with a similar domain name, as demonstrated by use of a www.example.con certificate to spoof www.example.com.",apple,"libsecurity, mac_os_x, mac_os_x_server",MEDIUM,CWE-287,SSL,Related,Implementation,"Incorrect implementation, there is a problem with the SSL certificate validated process, it's a vulnerability because Apple Mac OS X does not properly compare domain names in X.509 certificates (allowing  man-in-the-middle attacks). Therefor It's related to SSL protocol.",
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,SSL,Related,Implementation,"incorrect implementation, incorrect implementation of the SSL signature verification process within the BIND software.(allowing bypass certificate validation). This flaw in SSL signature verification results in a security bypass and related directly to SSL protocol.",
