CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2021-25216,CVE-2021-25216,"In BIND 9.5.0 -> 9.11.29, 9.12.0 -> 9.16.13, and versions BIND 9.11.3-S1 -> 9.11.29-S1 and 9.16.8-S1 -> 9.16.13-S1 of BIND Supported Preview Edition, as well as release versions 9.17.0 -> 9.17.1 of the BIND 9.17 development branch, BIND servers are vulnerable if they are running an affected version and are configured to use GSS-TSIG features. In a configuration which uses BIND's default settings the vulnerable code path is not exposed, but a server can be rendered vulnerable by explicitly setting values for the tkey-gssapi-keytab or tkey-gssapi-credential configuration options. Although the default configuration is not vulnerable, GSS-TSIG is frequently used in networks where BIND is integrated with Samba, as well as in mixed-server environments that combine BIND servers with Active Directory domain controllers. For servers that meet these conditions, the ISC SPNEGO implementation is vulnerable to various attacks, depending on the CPU architecture for which BIND was built: For named binaries compiled for 64-bit platforms, this flaw can be used to trigger a buffer over-read, leading to a server crash. For named binaries compiled for 32-bit platforms, this flaw can be used to trigger a server crash due to a buffer overflow and possibly also to achieve remote code execution. We have determined that standard SPNEGO implementations are available in the MIT and Heimdal Kerberos libraries, which support a broad range of operating systems, rendering the ISC implementation unnecessary and obsolete. Therefore, to reduce the attack surface for BIND users, we will be removing the ISC SPNEGO implementation in the April releases of BIND 9.11 and 9.16 (it had already been dropped from BIND 9.17). We would not normally remove something from a stable ESV (Extended Support Version) of BIND, but since system libraries can replace the ISC SPNEGO implementation, we have made an exception in this case for reasons of stability and security.","netapp, siemens, isc, debian","aff_a250_firmware, h700s_firmware, h300e, debian_linux, h700e, h500s, h410s_firmware, h500e_firmware, h300s, h700e_firmware, aff_500f, sinec_infrastructure_network_services, h410s, h300s_firmware, h700s, h300e_firmware, h500s_firmware, bind, aff_500f_firmware, cloud_backup, h500e, aff_a250, active_iq_unified_manager",CRITICAL,CWE-617,DNS,Dependent,Implementation,GSS-TIGS is an extention to the DNS alllowing servers and clients mutual authentication and integrity  protection of dns transactions. So the vulenrability is within the BIND servers configured to use GSS-TIGS which has an implemented issue that being exploite here,
CVE-2000-1029,CVE-2000-1029,Buffer overflow in host command allows a remote attacker to execute arbitrary commands via a long response to an AXFR query.,isc,bind,HIGH,NVD-CWE-Other,DNS,Related,Implementation,"The vulnerability occurs during the processing of responses to AXFR queries, which is a functionality of the DNS protocol. The vulnerability arises from an error in the implementation of the host command",
CVE-2006-0475,CVE-2006-0475,"PHP-Ping 1.3 does not properly validate ping counts, which allows remote attackers to cause a denial of service (ping flood) via a negative count parameter.",theworldsend.net,php-ping,MEDIUM,NVD-CWE-Other,ICMP,Dependent,Implementation,The problem is not with the logic of how the ping function is supposed to work but rather with the specific implementation of input validation- did not validate the count number. ICMP protocol because it is directly related to how PHP-Ping handles the ICMP ping count parameter. dependent because it is a problem with handling counters and not the protocol itself.,
CVE-2005-3098,CVE-2005-3098,poppassd in Qualcomm qpopper 4.0.8 allows local users to modify arbitrary files and gain privileges via the -t (trace file) command line argument.,qualcomm,qpopper,MEDIUM,NVD-CWE-Other,POP3,Unrelated,Implementation,"The vulnerability does not involve or depend on the POP3 protocol itself, but relatesto a security issue in the qpopper software related to an command line argument handling and file system operations, resulting from an implementation error in it. ",
CVE-1999-1592,CVE-1999-1592,"Multiple unspecified vulnerabilities in sendmail 5, as installed on Sun SunOS 4.1.3_U1 and 4.1.4, have unspecified attack vectors and impact.  NOTE: this might overlap CVE-1999-0129.","sun, sendmail","sunos, sendmail",HIGH,NVD-CWE-Other,SMTP,Related,Implementation,"Sendmail is an STMP server, so since the vulnerability, it must envolve the protocol. ",
CVE-2017-2846,CVE-2017-2846,"In the web management interface in Foscam C1 Indoor HD cameras with application firmware 2.52.2.37, a specially crafted HTTP request can allow for a user to inject arbitrary shell characters during manual network configuration resulting in command injection. An attacker can simply send an HTTP request to the device to trigger this vulnerability.",foscam,"c1_indoor_hd_camera_firmware, c1_indoor_hd_camera",HIGH,CWE-78,SMTP,Dependent,Implementation,The vulnerability requires the use of SMTP but it does not exploit it directly. The vulnerability stems from improper  validation of the HTTP request - hence its origin is implementation.,
CVE-2001-1382,CVE-2001-1382,openbsd,,openssh,MEDIUM,NVD-CWE-Other,SSH,Related,Implementation,"The issue is in the implementation of ssh protocol via the OpenSSH tool, where an additional packet sent can be exploited. ","The ""echo simulation"" traffic analysis countermeasure in OpenSSH before 2.9.9p2 sends an additional echo packet after the password and carriage return is entered, which could allow remote attackers to determine that the countermeasure is being used."
CVE-2018-15473,CVE-2018-15473,"openbsd, redhat, oracle, canonical, siemens, netapp, debian",,"debian_linux, data_ontap_edge, scalance_x204rna_firmware, steelstore_cloud_integrated_storage, oncommand_unified_manager, service_processor, virtual_storage_console, storage_replication_adapter, sun_zfs_storage_appliance_kit, clustered_data_ontap, enterprise_linux_workstation, fas_baseboard_management_controller, data_ontap, vasa_provider, cloud_backup, cn1610, openssh, enterprise_linux_desktop, scalance_x204rna, enterprise_linux_server, cn1610_firmware, aff_baseboard_management_controller, ubuntu_linux, ontap_select_deploy",MEDIUM,CWE-362,SSH,Related,Implementation,"Bad implementation of ssh protocol in the OpenSSH tool, where there is improper handling of auth requests.","OpenSSH through 7.7 is prone to a user enumeration vulnerability due to not delaying bailout for an invalid authenticating user until after the packet containing the request has been fully parsed, related to auth2-gss.c, auth2-hostbased.c, and auth2-pubkey.c."
CVE-2019-3918,CVE-2019-3918,nokia,,"i-240w-q_gpon_ont, i-240w-q_gpon_ont_firmware",CRITICAL,CWE-798,SSH,Dependent,Implementation,The issue is exploitation of Hardcoded credentials of SSH (thus dependency and not related to SSH) in the firmware,The Alcatel Lucent I-240W-Q GPON ONT using firmware version 3FE54567BOZJ19 contains multiple hard coded credentials for the Telnet and SSH interfaces.
CVE-2020-3174,CVE-2020-3174,cisco,,"nexus_9336c-fx2, nexus_92300yc, nexus_92304qc, mds_9148t, nexus_9348gc-fxp, nexus_9504, nexus_3172, nexus_9332c, nexus_92160yc-x, nexus_9372tx-e, nexus_93108tc-fx, nexus_3524-x, nexus_7000, nexus_9372px, mds_9132t, nexus_93180yc-fx, mds_9710, nexus_9372px-e, mds_9513, nexus_3548-xl, nexus_3172pq-xl, nexus_9336pq_aci_spine, nexus_9396px, nexus_9272q, nexus_3548, mds_9222i, nexus_93120tx, nexus_3164q, nexus_3232c_, nexus_3132q, nexus_34180yc, nexus_3048, mds_9148s, nexus_9516, nexus_3432d-s, mds_9706, nexus_93240yc-fx2, nexus_92348gc-x, mds_9216i, nexus_9364c, nexus_31108tc-v, mds_9509, mds_9718, nexus_9000v, nexus_93216tc-fx2, nexus_3636c-r, nexus_9396tx, nexus_3464c, mds_9506, nexus_3172tq-xl, mds_9216a, nexus_3524, nexus_93128tx, nexus_3524-xl, nexus_7700, nexus_9236c, nexus_3548-x, nexus_9508, nexus_93180yc-ex, nexus_31128pq, mds_9216, nexus_93108tc-ex, nexus_3132c-z, nexus_3172tq-32t, nexus_9332pq, nexus_3064, nexus_93360yc-fx2, nexus_3408-s, nexus_3264q, nexus_9372tx, nexus_3132q-xl, nexus_3132q-v, nexus_3172tq, nexus_93180lc-ex, nexus_3064-t, nexus_36180yc-r, nx-os, nexus_31108pc-v, nexus_3264c-e, nexus_3016",MEDIUM,CWE-345,ARP,Related,Implementation,"Wrong implementation of GARP requests validation, which is directly exploits the ARP protocol in this gateway.","A vulnerability in the anycast gateway feature of Cisco NX-OS Software could allow an unauthenticated, adjacent attacker to cause a device to learn invalid Address Resolution Protocol (ARP) entries. The ARP entries are for nonlocal IP addresses for the subnet. The vulnerability is due to improper validation of a received gratuitous ARP (GARP) request. An attacker could exploit this vulnerability by sending a malicious GARP packet on the local subnet to cause the ARP table on the device to become corrupted. A successful exploit could allow the attacker to populate the ARP table with incorrect entries, which could lead to traffic disruptions."
