CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2
CVE-2007-1692,CVE-2007-1692,"The default configuration of Microsoft Windows uses the Web Proxy Autodiscovery Protocol (WPAD) without static WPAD entries, which might allow remote attackers to intercept web traffic by registering a proxy server using WINS or DNS, then responding to WPAD requests, as demonstrated using Internet Explorer.  NOTE: it could be argued that if an attacker already has control over WINS/DNS, then web traffic could already be intercepted by modifying WINS or DNS records, so this would not cross privilege boundaries and would not be a vulnerability.  It has also been reported that DHCP is an alternate attack vector.",microsoft,"windows_2000, windows_2003_server",HIGH,CWE-16,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,None,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,
CVE-2007-4390,CVE-2007-4390,"The Command Line Interface (CLI), aka Adonis Administration Console, on the BlueCat Networks Adonis DNS/DHCP appliance 5.0.2.8 allows local admin users to gain root privileges on the underlying operating system via shell metacharacters in a command.",bluecat_networks,adonis,HIGH,CWE-264,DNS,Related,Implementation,"The vulnerability is due to a buffer overflow in the DHCP Client service for Microsoft Windows, allowing remote attackers to execute arbitrary code via a crafted DHCP response. This indicates an implementation flaw.",
CVE-2005-0876,CVE-2005-0876,Off-by-one buffer overflow in Dnsmasq before 2.21 may allow attackers to execute arbitrary code via the DHCP lease file.,dnsmasq,dnsmasq,MEDIUM,NVD-CWE-Other,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",
CVE-2006-4983,CVE-2006-4983,"Cisco NAC allows quarantined devices to communicate over the network with (1) DNS, (2) DHCP, and (3) EAPoUDP, which allows attackers to bypass control methods by tunneling network traffic through one of these protocols.",cisco,network_access_control,HIGH,NVD-CWE-Other,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,None,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,
CVE-2009-2957,CVE-2009-2957,"Heap-based buffer overflow in the tftp_request function in tftp.c in dnsmasq before 2.50, when --enable-tftp is used, might allow remote attackers to execute arbitrary code via a long filename in a TFTP packet, as demonstrated by a read (aka RRQ) request.",thekelleys,dnsmasq,MEDIUM,CWE-119,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",
CVE-2019-19942,CVE-2019-19942,"Missing output sanitation in Swisscom Centro Grande Centro Grande before 6.16.12, Centro Business 1.0 (ADB) before 7.10.18, and Centro Business 2.0 before 8.02.04 allows a remote attacker to perform DNS spoofing against the web interface via crafted hostnames in DHCP requests.",swisscom,"centro_business, centro_grande, centro_grande_firmware",HIGH,CWE-20,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",
CVE-2002-1071,CVE-2002-1071,"ZyXEL Prestige 642R allows remote attackers to cause a denial of service in the Telnet, FTP, and DHCP services (crash) via a TCP packet with both the SYN and ACK flags set.",zyxel,prestige,MEDIUM,NVD-CWE-Other,DHCP,Related,Implementation,"The issue lies within the implementation of the ZyXEL Prestige 642R router's handling of TCP packets. The vulnerability involves the Telnet, FTP, and DHCP services being crashed by a specific TCP packet.",
CVE-2017-2348,CVE-2017-2348,"The Juniper Enhanced jdhcpd daemon may experience high CPU utilization, or crash and restart upon receipt of an invalid IPv6 UDP packet. Both high CPU utilization and repeated crashes of the jdhcpd daemon can result in a denial of service as DHCP service is interrupted. No other Juniper Networks products or platforms are affected by this issue. Affected releases are Juniper Networks Junos OS 14.1X53 prior to 14.1X53-D12, 14.1X53-D38, 14.1X53-D40 on QFX, EX, QFabric System; 15.1 prior to 15.1F2-S18, 15.1R4 on all products and platforms; 15.1X49 prior to 15.1X49-D80 on SRX; 15.1X53 prior to 15.1X53-D51, 15.1X53-D60 on NFX, QFX, EX.",juniper,junos,HIGH,CWE-400,DHCP,Dependent,Implementation,lack of implementaion of the Juniper leads to exploitations that effect the DHCP service,
CVE-2021-40831,CVE-2021-40831,"The AWS IoT Device SDK v2 for Java, Python, C++ and Node.js appends a user supplied Certificate Authority (CA) to the root CAs instead of overriding it on macOS systems. Additionally, SNI validation is also not enabled when the CA has been “overridden”. TLS handshakes will thus succeed if the peer can be verified either from the user-supplied CA or the system’s default trust-store. Attackers with access to a host’s trust stores or are able to compromise a certificate authority already in the host's trust store (note: the attacker must also be able to spoof DNS in this case) may be able to use this issue to bypass CA pinning. An attacker could then spoof the MQTT broker, and either drop traffic and/or respond with the attacker's data, but they would not be able to forward this data on to the MQTT broker because the attacker would still need the user's private keys to authenticate against the MQTT broker. The 'aws_tls_ctx_options_override_default_trust_store_*' function within the aws-c-io submodule has been updated to address this behavior. This issue affects: Amazon Web Services AWS IoT Device SDK v2 for Java versions prior to 1.5.0 on macOS. Amazon Web Services AWS IoT Device SDK v2 for Python versions prior to 1.7.0 on macOS. Amazon Web Services AWS IoT Device SDK v2 for C++ versions prior to 1.14.0 on macOS. Amazon Web Services AWS IoT Device SDK v2 for Node.js versions prior to 1.6.0 on macOS. Amazon Web Services AWS-C-IO 0.10.7 on macOS.","apple, amazon","amazon_web_services_aws-c-io, amazon_web_services_internet_of_things_device_software_development_kit_v2, macos",HIGH,CWE-295,None,Related,Logic,"
The vulnerability exploits how the Certificate Authority (CA) is handled during host authentication. Attackers execute the attack by spoofing DNS, gaining access to the host's trust store. By doing so he can bypass CA pinning and intercepting or manipulating traffic. DNS spoofing allows attackers to inject fake DNS responses, tricking the system into trusting malicious entities.",
CVE-2002-0702,CVE-2002-0702,"Format string vulnerabilities in the logging routines for dynamic DNS code (print.c) of ISC DHCP daemon (DHCPD) 3 to 3.0.1rc8, with the NSUPDATE option enabled, allow remote malicious DNS servers to execute arbitrary code via format strings in a DNS server response.",isc,dhcpd,HIGH,NVD-CWE-Other,Both,Related,Implementation,The vulnerability involves dynamic DNS code (which is DNS-related) and the ISC DHCP daemon (DHCPD). The issue is in the logging routines for ISC DHCP daemon,
CVE-2018-20872,CVE-2018-20872,"DrayTek routers before 2018-05-23 allow CSRF attacks to change DNS or DHCP settings, a related issue to CVE-2017-11649.",i-lan,draytekl_firmware,MEDIUM,CWE-352,Both,Related,Implementation,"the vulnerability is due to a flaw of the DrayTek software\configuration, Morover its related cause its directly affect the operation of DNS\DHCP (changing settings)",
CVE-1999-0875,CVE-1999-0875,DHCP clients with ICMP Router Discovery Protocol (IRDP) enabled allow remote attackers to modify their default routes.,"sun, microsoft","windows_95, sunos, windows_2000, solaris, windows_98se",HIGH,CWE-16,DHCP,Dependent,Logic,"The vulnerability arises from  the way DHCP clients handle IRDP enabling exposes the system to potential route manipulation by attackers, which is a design weakness.",
CVE-2018-17013,CVE-2018-17013,"An issue was discovered on TP-Link TL-WR886N 6.0 2.3.4 and TL-WR886N 7.0 1.1.0 devices. Authenticated attackers can crash router services (e.g., inetd, HTTP, DNS, and UPnP) via long JSON data for protocol wan wan_rate.",tp-link,"tl-wr886n, tl-wr886n_firmware",MEDIUM,NVD-CWE-noinfo,None,Unrelated,Implementation,"could have said DNS and depened cause the attacker can shuts the service, and there is a service only if there is workink DNS but I set the answer like that becuase the DNS here *could* be the viticm and the attack has nothing to do with DNS besides being a target service",
CVE-2019-14834,CVE-2019-14834,"A vulnerability was found in dnsmasq before version 2.81, where the memory leak allows remote attackers to cause a denial of service (memory consumption) via vectors involving DHCP response creation.","thekelleys, fedoraproject","fedora, dnsmasq",LOW,CWE-770,Both,Related,Implementation,"The vulnerability is related to dns cause the attacker allocate memory using DHCP pakcets(dependent), memory leaking is an implemntation issue",
