CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2,ChatGPT_Response
CVE-2017-11779,CVE-2017-11779,"The Microsoft Windows Domain Name System (DNS) DNSAPI.dll on Microsoft Windows 8.1, Windows Server 2012 R2, Windows RT 8.1, Windows 10 Gold, 1511, 1607, and 1703, and Windows Server 2016 allows a remote code execution vulnerability when it fails to properly handle DNS responses, aka ""Windows DNSAPI Remote Code Execution Vulnerability"".",microsoft,"windows_server_2016, windows_server_2012, windows_8.1, windows_rt_8.1, windows_10",HIGH,NVD-CWE-noinfo,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,DNS
CVE-2010-1911,CVE-2010-1911,"The site-locking implementation in the SdcWebSecureBase interface in tgctlcm.dll in Consona Live Assistance, Dynamic Agent, and Subscriber Assistance relies on a list of server domain names to restrict execution of ActiveX controls, which makes it easier for man-in-the-middle attackers to execute arbitrary code via a DNS hijacking attack.",consona,"consona_live_assistance, consona_subscriber_assistance, consona_dynamic_agent",HIGH,CWE-310,DNS,Related,Implementation,"The vulnerability directly affects DNS operation due to improper handling of DNS requests by the server, indicating an implementation flaw.",,DNS
CVE-2015-0633,CVE-2015-0633,"The Integrated Management Controller (IMC) in Cisco Unified Computing System (UCS) 1.4(7h) and earlier on C-Series servers allows remote attackers to bypass intended access restrictions by sending crafted DHCP response packets on the local network, aka Bug ID CSCuf52876.",cisco,"c220_m4, c250_m2, c250_m1, c200_m1, c460_m2, c460_m1, c240_m4, c24_m3, c200_m2, c3160, unified_computing_system, c240_m3, c22_m3, c420_m2, c260_m2, c220_m3, c460_m4, c420_m3, c210_m2",MEDIUM,CWE-20,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,"DNS, DHCP"
CVE-2017-14429,CVE-2017-14429,"The DHCP client on D-Link DIR-850L REV. A (with firmware through FW114WWb07_h2ab_beta1) and REV. B (with firmware through FW208WWb02) devices allows unauthenticated remote code execution as root because /etc/services/INET/inet_ipv4.php mishandles shell metacharacters, affecting generated files such as WAN-1-udhcpc.sh.","d-link, dlink","dir-850l, dir-850l_firmware",CRITICAL,CWE-78,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,"DNS, DHCP"
CVE-2007-1692,CVE-2007-1692,"The default configuration of Microsoft Windows uses the Web Proxy Autodiscovery Protocol (WPAD) without static WPAD entries, which might allow remote attackers to intercept web traffic by registering a proxy server using WINS or DNS, then responding to WPAD requests, as demonstrated using Internet Explorer.  NOTE: it could be argued that if an attacker already has control over WINS/DNS, then web traffic could already be intercepted by modifying WINS or DNS records, so this would not cross privilege boundaries and would not be a vulnerability.  It has also been reported that DHCP is an alternate attack vector.",microsoft,"windows_2000, windows_2003_server",HIGH,CWE-16,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,"DNS, DHCP"
CVE-2003-1581,CVE-2003-1581,"The Apache HTTP Server 2.0.44, when DNS resolution is enabled for client IP addresses, allows remote attackers to inject arbitrary text into log files via an HTTP request in conjunction with a crafted DNS response, as demonstrated by injecting XSS sequences, related to an ""Inverse Lookup Log Corruption (ILLC)"" issue.",apache,http_server,LOW,CWE-79,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,"DNS, DHCP"
CVE-2013-5661,CVE-2013-5661,Cache Poisoning issue exists in DNS Response Rate Limiting.,"redhat, isc, nlnetlabs, nic","enterprise_linux, bind, knot_resolver, nsd",MEDIUM,CWE-290,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,"DNS, DHCP"
CVE-2021-34737,CVE-2021-34737,"A vulnerability in the DHCP version 4 (DHCPv4) server feature of Cisco IOS XR Software could allow an unauthenticated, remote attacker to trigger a crash of the dhcpd process, resulting in a denial of service (DoS) condition. This vulnerability exists because certain DHCPv4 messages are improperly validated when they are processed by an affected device. An attacker could exploit this vulnerability by sending a malformed DHCPv4 message to an affected device. A successful exploit could allow the attacker to cause a NULL pointer dereference, resulting in a crash of the dhcpd process. While the dhcpd process is restarting, which may take up to approximately two minutes, DHCPv4 server services are unavailable on the affected device. This could temporarily prevent network access to clients that join the network during that time period. Note: Only the dhcpd process crashes and eventually restarts automatically. The router does not reload.",cisco,"asr_9001, asr_9906, ncs_5516, ncs_560-4, ncs540x-16z4g8q2c-d, ncs540-12z20g-sys-d, ncs_5508, ios_xrv_9000, ncs540-24z8q2c-sys, ncs_5501, ncs_5001, ncs_560-7, asr_9910, ncs540x-acc-sys, asr_9902, ncs540-28z4c-sys-d, ios_xr, ncs540-24z8q2c-m, asr_9901, ncs540-acc-sys, ncs_5502-se, ncs_5501-se, asr_9904, ncs_5502, asr_9006, ncs_5011, asr_9912, asr_9922, ncs540-28z4c-sys-a, ncs540x-12z16g-sys-a, asr_9010, ncs540-12z20g-sys-a, asr_9903, ncs540x-16z4g8q2c-a, ncs_5002, asr_9000v-v2, ncs540x-12z16g-sys-d",HIGH,CWE-476,DHCP,Related,Implementation,"The vulnerability directly affects DHCP operation due to improper handling of DHCP requests by the server, indicating an implementation flaw.",,"DNS, DHCP"
CVE-2020-25685,CVE-2020-25685,"A flaw was found in dnsmasq before version 2.83. When getting a reply from a forwarded query, dnsmasq checks in forward.c:reply_query(), which is the forwarded query that matches the reply, by only using a weak hash of the query name. Due to the weak hash (CRC32 when dnsmasq is compiled without DNSSEC, SHA-1 when it is) this flaw allows an off-path attacker to find several different domains all having the same hash, substantially reducing the number of attempts they would have to perform to forge a reply and get it accepted by dnsmasq. This is in contrast with RFC5452, which specifies that the query name is one of the attributes of a query that must be used to match a reply. This flaw could be abused to perform a DNS Cache Poisoning attack. If chained with CVE-2020-25684 the attack complexity of a successful attack is reduced. The highest threat from this vulnerability is to data integrity.","thekelleys, fedoraproject, arista, debian","eos, debian_linux, fedora, dnsmasq",LOW,CWE-358,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,"DNS, DHCP"
CVE-2015-7282,CVE-2015-7282,"ReadyNet WRT300N-DD devices with firmware 1.0.26 use the same source port number for every DNS query, which makes it easier for remote attackers to spoof responses by selecting that number for the destination port.",readynet_solutions,"wrt300n-dd_firmware, wrt300n-dd",MEDIUM,CWE-20,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,"DNS, DHCP"
